id_lo,id_mid,id_hi,n
173,836,904,16
174,793,1156,15
174,932,1758,13
174,942,1163,15
174,992,1476,107
175,296,950,11
175,721,1373,108
176,480,596,15
176,503,511,14
177,217,1216,18
177,251,733,14
177,798,803,115
178,866,1054,16
179,202,535,114
179,437,999,108
179,1002,1227,19
180,196,798,110
181,251,1306,108
181,365,1656,109
181,674,1795,18
181,754,1396,16
182,556,1054,111
182,789,1067,20
182,842,1795,12
183,759,1798,15
183,943,1553,112
185,1434,1594,18
186,660,1659,113
187,434,1759,16
187,435,1433,19
187,1416,1473,100
188,375,871,105
188,585,1445,15
188,611,637,14
188,1281,1826,15
189,350,887,17
190,204,1112,19
190,1624,1806,101
191,207,1060,15
191,328,1284,15
191,658,1819,16
192,257,1338,116
192,491,1824,17
192,559,1542,14
192,797,836,17
192,812,1746,103
192,878,1019,110
192,1230,1531,17
193,540,1677,14
193,964,1148,112
194,553,1443,110
194,680,793,106
194,787,1017,18
195,1021,1333,107
196,341,1717,14
196,343,1419,15
196,824,1356,16
197,887,1690,16
198,409,836,18
198,581,672,105
199,333,463,111
199,437,915,18
199,733,1623,15
199,1378,1482,110
200,337,1370,18
200,497,984,17
200,924,1224,107
201,323,1542,18
201,918,1710,106
202,456,1805,14
203,396,1320,19
203,1052,1193,115
203,1316,1354,18
204,260,867,13
204,360,1671,18
205,268,480,115
205,331,1376,11
205,619,934,17
205,1600,1690,112
206,1058,1845,103
206,1284,1708,108
206,1830,1848,14
207,855,1723,116
208,404,1530,14
208,604,1372,114
209,242,531,108
209,250,1061,113
209,403,646,15
209,569,1817,19
209,725,1660,100
209,1111,1206,17
210,237,675,20
210,568,801,111
211,266,1125,106
211,386,687,109
211,1279,1622,11
212,286,1426,103
212,341,1128,16
212,348,358,12
212,886,1609,17
212,1370,1759,117
213,451,1245,17
213,493,729,118
214,281,448,16
214,607,1405,111
214,1251,1376,15
215,897,1451,111
215,1207,1348,17
215,1371,1589,15
216,1540,1651,13
218,354,486,104
218,619,1522,113
218,959,1547,13
219,1402,1851,110
220,548,776,112
221,274,301,17
221,646,1199,15
221,896,1218,13
222,290,1632,15
222,297,1550,112
222,783,1783,113
223,1192,1688,109
225,520,1580,12
225,1200,1420,114
226,280,1006,111
226,394,663,13
226,870,1464,15
227,367,1384,111
227,556,1191,112
227,968,1139,112
227,1536,1632,15
228,302,1491,109
228,664,1529,109
228,809,1314,16
228,1196,1502,18
229,785,1527,14
229,904,1519,103
230,518,1014,16
231,408,539,19
231,430,1461,112
231,1475,1782,109
232,376,1784,15
233,337,1619,19
233,656,1309,19
234,323,1757,16
235,628,1492,18
235,869,1166,110
235,1130,1811,108
236,845,1677,19
236,1529,1554,13
237,340,1829,107
237,1303,1483,103
237,1573,1789,18
237,1768,1820,17
238,307,771,16
238,500,1274,15
239,934,1656,112
239,982,1497,100
239,1751,1838,16
240,532,671,106
240,1038,1529,110
241,750,1772,113
242,448,869,110
242,856,1035,16
242,980,1454,113
242,1069,1761,109
244,430,803,103
244,1220,1830,110
245,343,729,13
245,967,1161,12
246,259,1382,20
246,1407,1741,115
248,1203,1575,17
248,1233,1818,12
249,369,829,111
249,1189,1452,107
250,306,1565,108
250,988,1088,17
251,593,833,16
251,855,1056,108
252,331,1227,109
252,479,1317,108
252,690,1586,14
253,948,974,115
253,1799,1834,117
254,477,1772,113
254,1007,1403,108
254,1070,1074,113
255,731,945,108
256,408,1515,16
257,439,1740,107
257,576,1436,16
257,715,1322,16
258,917,1225,103
258,956,1761,15
258,1390,1728,19
259,642,792,16
259,836,1840,15
259,1137,1627,109
260,1318,1447,100
262,994,1707,114
263,276,965,110
263,394,1026,104
264,281,559,15
264,282,1652,118
264,355,1783,16
264,404,419,18
265,614,1053,111
267,280,1413,16
267,512,544,112
267,529,1760,16
268,1214,1333,108
269,444,1708,16
269,627,1808,108
269,800,1492,15
269,1063,1836,16
269,1461,1793,17
270,801,1752,13
272,311,582,105
273,550,708,106
273,900,1227,109
274,389,899,21
274,631,1340,17
274,975,1551,109
274,992,1783,18
274,1336,1759,106
275,315,346,108
275,344,1811,15
275,899,1486,12
275,1146,1624,15
276,477,1014,106
276,918,1762,13
277,504,882,110
277,622,1534,14
277,1097,1321,112
278,288,1512,114
278,1005,1227,14
278,1794,1822,115
279,462,518,111
279,906,1443,113
279,920,1611,112
280,667,1797,10
280,1219,1363,17
281,571,1113,18
281,657,1680,116
281,798,1094,110
281,977,1250,117
281,1116,1638,111
282,382,484,115
282,409,1530,109
282,642,1205,18
282,1187,1257,101
283,441,1492,113
283,1650,1787,21
284,649,893,108
284,1010,1153,16
284,1012,1572,112
284,1778,1849,16
285,499,1005,18
285,1230,1446,116
285,1309,1699,111
285,1337,1636,18
286,583,1788,104
286,1144,1340,16
287,714,1641,13
287,865,1689,111
287,1069,1292,106
288,600,1197,14
288,975,1052,18
289,686,1425,14
289,1205,1434,111
289,1232,1395,17
290,549,1648,108
290,1133,1822,18
290,1466,1693,14
291,553,1412,11
291,756,1168,14
292,352,401,107
292,1016,1623,106
292,1600,1674,108
293,839,1498,17
294,602,1532,114
294,989,1267,110
294,1038,1685,14
295,320,1192,16
295,539,1558,15
295,738,851,113
295,1078,1489,16
295,1350,1807,110
296,643,684,106
297,1630,1765,106
297,1757,1777,109
298,399,1590,107
299,381,528,14
299,473,1670,113
299,759,1059,18
299,1089,1790,15
299,1536,1604,17
300,1088,1779,14
301,460,1345,111
301,506,1278,110
301,619,1478,13
301,1154,1465,14
302,671,1715,15
302,779,1579,16
302,875,1533,15
303,977,1293,111
304,364,1111,101
304,367,853,15
304,523,1039,112
304,537,1514,101
304,554,1126,18
305,354,1312,11
305,361,727,18
305,420,1781,16
305,629,818,12
305,677,1674,101
305,1263,1762,102
307,322,990,18
307,432,1369,20
307,623,828,112
307,766,1384,14
308,884,1000,15
308,1262,1263,15
309,1142,1811,111
310,395,1804,107
310,559,1609,105
310,675,1490,11
310,750,1807,112
311,463,1311,15
311,558,1545,11
311,662,1401,108
311,783,978,17
311,1003,1673,106
311,1409,1469,110
312,1029,1446,111
313,329,491,110
313,880,1110,104
314,405,1559,116
314,467,1788,16
314,584,1391,110
314,879,1369,16
315,1005,1315,104
316,873,1144,116
316,1155,1698,114
316,1338,1809,13
317,1067,1539,111
318,1220,1369,112
318,1400,1525,14
319,321,1049,111
319,533,718,14
319,568,641,115
320,364,1484,113
320,823,922,16
322,653,750,18
323,801,962,21
325,585,1166,111
325,648,1110,112
326,688,925,13
327,855,992,105
327,929,950,113
328,692,1423,110
328,747,995,115
328,748,1389,102
328,1053,1152,113
328,1729,1788,15
329,412,1577,109
329,433,769,107
329,439,1306,113
329,1243,1348,14
331,365,1358,107
331,667,1334,113
332,589,851,107
332,601,1193,12
333,1240,1770,16
