,triplet_id,correct_avg,correct_id,delta,Accuracy Avg. Model,id_lo,id_mid,id_hi,prop_max,n_per_triplet,is_improvement,prop_max_rounded
69,70,0.5392156862745098,0.7058823529411765,0.16666666666666674,5,1059,1437,1745,0.5446428571428571,112,1,0.5
70,71,0.46153846153846156,0.5961538461538461,0.13461538461538458,4,106,1234,1461,0.4414414414414414,111,1,0.4
71,72,0.32989690721649484,0.4948453608247423,0.16494845360824745,3,106,1482,1785,0.3394495412844037,109,1,0.3
72,73,0.8315789473684211,0.8631578947368421,0.03157894736842104,8,1062,1270,1505,0.8,110,1,0.8
73,74,1.0,1.0,0.0,9,106,248,908,0.7647058823529411,17,1,0.8
74,75,0.3333333333333333,0.6666666666666666,0.3333333333333333,3,1064,1398,1788,0.6428571428571429,14,1,0.6
75,76,0.6666666666666666,0.6666666666666666,0.0,6,1064,1486,1661,0.6923076923076923,13,1,0.7
76,77,0.3,0.5,0.2,2,106,502,1781,0.6,20,1,0.6
77,78,0.0,0.5454545454545454,0.5454545454545454,0,1065,1346,1676,0.625,16,1,0.6
78,79,0.9292929292929293,0.9191919191919192,-0.010101010101010055,9,106,555,1534,0.9333333333333332,105,0,0.9
79,80,0.8888888888888888,0.8888888888888888,0.0,8,1066,1407,1763,0.9411764705882352,17,1,0.9
80,81,1.0,1.0,0.0,9,106,649,1681,0.7058823529411765,17,1,0.7
81,82,0.7052631578947368,0.7789473684210526,0.0736842105263158,7,106,663,1733,0.7431192660550459,109,1,0.7
82,83,0.3942307692307692,0.6634615384615384,0.2692307692307692,3,106,724,732,0.4642857142857143,112,1,0.5
83,84,0.8333333333333334,0.8333333333333334,0.0,8,1068,1235,1782,0.8181818181818182,11,1,0.8
84,85,0.3118279569892473,0.4838709677419355,0.17204301075268819,3,106,889,1019,0.4711538461538461,104,1,0.5
85,86,0.7788461538461539,0.7692307692307693,-0.009615384615384581,7,107,370,459,0.7636363636363637,110,0,0.8
86,87,0.8888888888888888,0.8888888888888888,0.0,8,1075,1485,1723,0.8,15,1,0.8
87,88,0.6666666666666666,1.0,0.33333333333333337,6,107,529,943,0.8235294117647058,17,1,0.8
88,89,0.5,0.6914893617021277,0.19148936170212771,4,107,612,1029,0.4727272727272727,110,1,0.5
89,90,0.43157894736842106,0.5368421052631579,0.10526315789473684,4,1076,1287,1295,0.4117647058823529,102,1,0.4
90,91,0.5,0.75,0.25,4,108,1082,1377,0.5714285714285714,14,1,0.6
91,92,0.37962962962962965,0.5092592592592593,0.12962962962962965,3,1084,1317,1753,0.4336283185840708,113,1,0.4
92,93,0.3617021276595745,0.5957446808510638,0.2340425531914893,3,1085,1181,1188,0.5045871559633027,109,1,0.5
