subject_id,cumprop_cut_lag,thx_lo,thx_hi
231,4,500,600
232,3,400,480
233,3,400,480
234,3,400,480
235,9,2360,5000
236,5,620,780
237,4,500,600
238,9,2360,5000
239,6,800,1020
240,5,620,780
241,9,2360,5000
242,6,800,1020
243,7,1040,1460
244,7,1040,1460
245,3,400,480
246,6,800,1020
247,8,1480,2340
248,10,5060,43760
249,4,500,600
250,7,1040,1460
251,8,1480,2340
252,5,620,780
253,4,500,600
254,6,800,1020
255,9,2360,5000
256,4,500,600
257,8,1480,2340
258,7,1040,1460
259,9,2360,5000
260,2,320,380
261,6,800,1020
262,2,320,380
263,4,500,600
264,1,260,300
265,3,400,480
266,4,500,600
267,6,800,1020
268,6,800,1020
269,6,800,1020
270,7,1040,1460
271,1,260,300
272,4,500,600
273,1,260,300
274,2,320,380
275,8,1480,2340
276,3,400,480
277,2,320,380
278,8,1480,2340
279,8,1480,2340
280,4,500,600
281,9,2360,5000
282,7,1040,1460
283,3,400,480
284,6,800,1020
285,5,620,780
286,10,5060,43760
287,5,620,780
288,8,1480,2340
289,5,620,780
290,5,620,780
291,8,1480,2340
292,1,260,300
293,7,1040,1460
294,5,620,780
295,5,620,780
296,2,320,380
297,7,1040,1460
298,7,1040,1460
299,2,320,380
300,4,500,600
301,2,320,380
302,2,320,380
303,3,400,480
304,3,400,480
305,2,320,380
306,8,1480,2340
307,9,2360,5000
308,2,320,380
309,9,2360,5000
310,3,400,480
311,8,1480,2340
312,6,800,1020
313,2,320,380
314,5,620,780
315,2,320,380
316,7,1040,1460
317,8,1480,2340
318,10,5060,43760
319,9,2360,5000
320,10,5060,43760
321,7,1040,1460
322,3,400,480
323,2,320,380
324,1,260,300
325,2,320,380
326,5,620,780
327,5,620,780
328,7,1040,1460
329,3,400,480
330,6,800,1020
331,7,1040,1460
332,9,2360,5000
333,5,620,780
334,10,5060,43760
335,9,2360,5000
336,2,320,380
337,4,500,600
338,4,500,600
339,4,500,600
340,5,620,780
341,6,800,1020
342,6,800,1020
343,6,800,1020
344,9,2360,5000
345,5,620,780
346,2,320,380
347,2,320,380
348,4,500,600
349,10,5060,43760
350,8,1480,2340
351,3,400,480
352,7,1040,1460
353,8,1480,2340
354,10,5060,43760
355,1,260,300
356,4,500,600
357,1,260,300
358,4,500,600
359,3,400,480
360,5,620,780
361,5,620,780
362,2,320,380
363,1,260,300
364,9,2360,5000
365,9,2360,5000
366,4,500,600
367,10,5060,43760
368,10,5060,43760
369,10,5060,43760
370,7,1040,1460
371,2,320,380
372,6,800,1020
373,10,5060,43760
374,4,500,600
375,8,1480,2340
376,8,1480,2340
377,2,320,380
378,3,400,480
379,1,260,300
380,6,800,1020
381,3,400,480
382,8,1480,2340
383,9,2360,5000
384,6,800,1020
385,5,620,780
386,7,1040,1460
387,5,620,780
388,8,1480,2340
389,10,5060,43760
390,8,1480,2340
391,3,400,480
392,7,1040,1460
393,10,5060,43760
394,3,400,480
395,3,400,480
396,3,400,480
397,6,800,1020
398,7,1040,1460
399,9,2360,5000
400,6,800,1020
401,1,260,300
402,3,400,480
403,9,2360,5000
404,3,400,480
405,7,1040,1460
406,4,500,600
407,9,2360,5000
408,3,400,480
409,9,2360,5000
410,10,5060,43760
411,2,320,380
412,9,2360,5000
413,2,320,380
414,7,1040,1460
415,8,1480,2340
416,10,5060,43760
417,8,1480,2340
418,6,800,1020
419,1,260,300
420,8,1480,2340
421,2,320,380
422,1,260,300
423,6,800,1020
424,2,320,380
425,3,400,480
426,5,620,780
427,10,5060,43760
428,9,2360,5000
429,4,500,600
430,10,5060,43760
431,4,500,600
432,3,400,480
433,5,620,780
434,1,260,300
435,6,800,1020
436,9,2360,5000
437,3,400,480
438,2,320,380
439,3,400,480
440,9,2360,5000
441,8,1480,2340
442,7,1040,1460
443,7,1040,1460
444,5,620,780
445,8,1480,2340
446,4,500,600
447,5,620,780
448,2,320,380
449,4,500,600
450,9,2360,5000
451,3,400,480
452,5,620,780
453,1,260,300
454,5,620,780
455,1,260,300
456,2,320,380
457,2,320,380
458,5,620,780
459,5,620,780
460,2,320,380
461,2,320,380
462,9,2360,5000
463,2,320,380
464,1,260,300
465,4,500,600
466,1,260,300
467,2,320,380
468,5,620,780
469,1,260,300
470,6,800,1020
471,6,800,1020
472,1,260,300
473,8,1480,2340
474,4,500,600
475,9,2360,5000
